video_title,video_date,Tyler,Garrett,Cody,Cory,Coby,first,t_first,second,t_second,third,tyler_cum_wins,garrett_cum_wins,cody_cum_wins,cory_cum_wins,coby_cum_wins
Endless Ducker Battle,2016-08-15,3,0,0,1,2,Cory,,Coby,,Tyler,10,2,4,2,0
Metal Detector Battle,2016-10-10,2,0,1,3,0,Cody,,Tyler,,Cory,10,2,5,2,0
Drone Hunting Battle,2016-11-07,1,0,0,1,0,Tyler,Cory,,,,11,2,5,3,0
Extreme Weather Golf Battle,2016-12-05,2,0,0,1,0,Cory,,Tyler,,,11,2,5,4,0
Virtual Reality Battle,2017-03-06,1,0,2,0,3,Tyler,,Cody,,Coby,12,2,5,4,0
Giant Sumo Battle,2017-04-17,0,2,0,0,1,Coby,,Garrett,,,12,2,5,4,1
Stunt Driving Battle,2017-05-01,2,1,3,0,0,Garrett,,Tyler,,Cody,12,3,5,4,1
Nerf Slip and Slide Battle,2017-07-31,1,0,2,0,0,Tyler,,Cody,,,13,3,5,4,1
Build A Boat Battle,2017-10-09,0,0,3,1,2,Cory,,Coby,,Cody,13,3,5,5,1
Freeze Frame Football Battle,2017-11-07,2,0,1,0,0,Cody,,Tyler,,,13,3,6,5,1
All Sports Golf Battle 2,2017-12-04,1,0,2,0,0,Tyler,,Cody,,,14,3,6,5,1
Model Rocket Battle,2018-02-05,2,1,0,3,0,Garrett,,Tyler,,Cory,14,4,6,5,1
Deep Sea Fishing Battle,2018-04-23,1,0,2,0,0,Tyler,,Cody,,,15,4,6,5,1
Giant Darts Battle,2018-05-21,3,1,0,0,2,Garrett,,Coby,,Tyler,15,5,6,5,1
Dirt Bike Battle,2018-07-30,1,2,0,0,2,Tyler,,Garrett,Coby,,16,5,6,5,1
All Sports Gold Battle 3,2018-08-06,2,1,2,0,0,Garrett,,Tyler,Cody,,16,6,6,5,1
Nerf Blasters Floating Island Battle,2018-08-13,2,0,1,0,0,Cody,,Tyler,,,16,6,7,5,1
High Speed Sports Battle,2018-09-10,1,0,3,0,2,Tyler,,Coby,,Cody,17,6,7,5,1
Airsoft Battle Royale,2018-11-19,3,2,1,0,0,Cody,,Garrett,,Tyler,17,6,8,5,1
Model Rocket Battle 2,2019-01-14,0,2,3,1,0,Cory,,Garrett,,Cody,17,6,8,6,1
Nerf Fornite Blasters Battle,2019-04-08,0,0,3,1,2,Cory,,Coby,,Cody,17,6,8,7,1
All Sports Baseball Battle,2019-04-22,0,2,0,1,2,Cory,,Garrett,Coby,,17,6,8,8,1
Metal Detector Battle 2,2019-06-17,3,0,1,2,0,Cody,,Cory,,Tyler,17,6,9,8,1
RC Airplane Battle,2019-07-15,2,0,0,0,1,Coby,,Tyler,,,17,6,9,8,2
Bass Fishing Battle,2019-07-29,1,2,0,0,0,Tyler,,Garrett,,,18,6,9,8,2
GIANT Waterslide Battle,2019-11-04,1,0,0,0,2,Tyler,,Coby,,,19,6,9,8,2
All Sports Bowling Battle,2019-12-02,0,1,0,0,2,Garrett,,Coby,,,19,7,9,8,2
Giant Foam Pit,2020-03-23,1,0,0,0,2,Tyler,,Coby,,,20,7,9,8,2
Blindfolded Archery Battle,2020-04-06,2,1,0,0,2,Garrett,,Tyler,Coby,,20,8,9,8,2
All Sports Golf Battle 4,2020-06-10,1,0,0,0,2,Tyler,,Coby,,,21,8,9,8,2
Farthest Throw from Giant Tower Wins,2020-07-06,0,1,0,2,3,Garrett,,Cory,,Coby,21,9,9,8,2
Concrete Shoes Football Battle,2020-09-07,1,0,2,0,0,Tyler,,Cody,,,22,9,9,8,2
Giant Grouper Fishing Battle,2020-10-05,2,3,0,0,1,Coby,,Tyler,,Garrett,22,9,9,8,3
Go Kart Paintball Battle,2020-11-09,1,0,0,0,2,Tyler,,Coby,,,23,9,9,8,3
Dude Perfect Corn Maze,2020-11-23,2,1,0,0,2,Garrett,,Tyler,Coby,,23,10,9,8,3
Flying RC Car,2021-01-11,0,0,1,2,2,Cody,,Cory,Coby,,23,10,10,8,3
Longest Dunk Wins,2021-03-08,1,0,0,2,0,Tyler,,Cory,,,24,10,10,8,3
RC Helicopter Batttle,2021-04-05,2,0,1,0,0,Cody,,Tyler,,,24,10,11,8,3
Fastest Soapcar Wins,2021-05-31,2,0,0,3,1,Coby,,Tyler,,Cory,24,10,11,8,4
Demolition Derby Battle,2021-07-12,2,3,1,0,0,Cody,,Tyler,,Garrett,24,10,12,8,4
Submarine Minefield Battle,2021-08-23,0,0,1,0,2,Cody,,Coby,,,24,10,13,8,4
Build a Raft Battle,2021-10-25,0,0,1,2,3,Cody,,Cory,,Coby,24,10,14,8,4
